group,math_scores,physics_scores,russian_scores,attendance,age,gender,exam_results
A,3.8,4.0,4.1,5,средние,мужской,не сдал
A,5.0,4.1,3.7,7,старшие,мужской,сдал
A,4.3,4.1,3.8,5,средние,мужской,сдал
A,3.8,4.0,4.6,1,старшие,мужской,сдал
A,4.1,4.2,4.1,0,средние,мужской,сдал
A,4.0,3.4,4.4,12,младшие,женский,сдал
A,4.4,4.1,3.8,1,средние,женский,сдал
A,3.9,3.7,4.2,13,средние,женский,сдал
A,3.6,4.1,4.2,19,младшие,мужской,сдал
A,3.7,4.5,4.9,3,младшие,мужской,сдал
A,3.3,4.1,3.5,7,старшие,мужской,сдал
A,4.5,4.0,4.4,12,младшие,женский,сдал
A,4.5,4.1,4.6,10,средние,мужской,не сдал
A,3.1,3.8,4.3,22,младшие,мужской,сдал
A,4.0,3.8,4.1,27,средние,женский,не сдал
A,3.6,3.6,4.0,3,средние,мужской,сдал
A,3.5,3.9,4.1,2,средние,мужской,сдал
A,3.6,3.9,4.2,2,старшие,мужской,сдал
A,4.0,4.4,3.6,0,младшие,женский,не сдал
A,3.7,3.7,4.4,6,средние,женский,сдал
A,3.3,4.0,4.3,10,младшие,мужской,сдал
A,3.6,4.2,4.0,0,старшие,женский,сдал
A,3.3,4.4,4.1,8,старшие,женский,сдал
A,3.9,4.3,4.1,7,младшие,женский,не сдал
A,3.9,3.9,5.0,5,средние,мужской,не сдал
A,4.3,3.9,4.1,5,младшие,мужской,сдал
A,3.0,3.8,4.2,5,старшие,женский,сдал
A,3.6,4.3,4.6,1,средние,мужской,не сдал
A,3.3,4.0,4.7,14,средние,женский,не сдал
A,3.4,4.0,4.3,1,младшие,женский,сдал
A,3.4,4.0,4.7,0,средние,женский,не сдал
A,4.0,4.1,4.2,7,старшие,мужской,сдал
A,4.0,4.3,4.1,39,средние,женский,не сдал
A,3.8,3.8,4.3,47,старшие,женский,не сдал
A,3.8,3.8,4.2,1,средние,женский,сдал
A,3.8,3.6,4.3,16,старшие,мужской,сдал
A,4.7,4.2,4.9,1,средние,женский,сдал
A,4.2,3.6,4.2,12,средние,женский,сдал
A,3.7,4.4,4.4,1,средние,женский,сдал
A,4.3,4.0,3.8,1,старшие,мужской,не сдал
A,4.1,4.4,3.9,16,средние,мужской,сдал
A,4.3,3.9,4.4,3,старшие,мужской,сдал
A,4.3,3.9,3.9,2,средние,женский,сдал
A,3.4,4.2,4.1,4,средние,мужской,сдал
A,4.1,3.5,3.9,1,старшие,женский,сдал
A,4.5,4.5,3.9,33,старшие,женский,не сдал
A,4.1,4.4,4.4,12,старшие,женский,не сдал
A,3.2,3.8,3.8,9,средние,женский,не сдал
A,3.0,3.8,4.5,36,старшие,женский,не сдал
A,3.7,4.5,4.4,6,средние,женский,сдал
A,3.4,4.2,4.5,0,средние,мужской,сдал
A,3.8,3.7,4.1,4,старшие,женский,сдал
A,4.2,4.1,3.9,3,младшие,женский,сдал
A,3.0,4.2,3.7,8,младшие,мужской,сдал
A,4.2,3.8,3.6,44,старшие,женский,сдал
A,4.0,3.5,4.2,1,младшие,мужской,не сдал
A,3.5,4.0,4.3,2,старшие,мужской,сдал
A,2.8,3.9,4.3,3,младшие,женский,сдал
A,4.2,3.4,4.0,3,старшие,мужской,сдал
A,4.2,4.3,4.5,22,младшие,женский,не сдал
A,3.6,4.2,4.2,7,старшие,мужской,не сдал
A,4.4,4.2,4.4,1,старшие,мужской,сдал
A,4.0,4.5,4.2,6,средние,мужской,сдал
A,3.3,4.2,4.0,12,средние,женский,не сдал
A,3.9,4.2,4.4,3,средние,женский,сдал
A,4.0,3.7,4.0,21,старшие,женский,сдал
A,4.1,4.2,4.0,44,старшие,женский,сдал
A,3.8,3.3,4.4,9,старшие,женский,сдал
A,4.2,3.3,3.9,23,старшие,мужской,сдал
A,3.5,4.1,4.5,34,старшие,женский,сдал
A,3.1,3.3,4.3,39,средние,женский,сдал
A,4.1,4.0,4.0,8,средние,мужской,сдал
A,3.0,4.1,3.9,2,младшие,мужской,сдал
A,4.6,3.9,4.2,2,старшие,мужской,сдал
A,3.1,4.5,4.1,19,средние,мужской,сдал
A,3.4,4.2,3.9,14,средние,мужской,сдал
A,4.1,4.2,4.0,27,старшие,мужской,сдал
A,3.5,4.4,4.0,16,младшие,женский,сдал
A,4.5,3.8,4.5,10,средние,женский,сдал
A,4.3,4.3,4.6,38,средние,женский,сдал
A,4.4,4.1,4.2,13,старшие,мужской,не сдал
A,4.2,4.1,4.4,1,старшие,мужской,не сдал
A,3.9,3.8,4.1,0,средние,женский,сдал
A,3.6,4.1,3.6,0,средние,женский,не сдал
A,3.2,4.3,3.9,11,старшие,женский,сдал
A,4.6,4.2,3.8,1,средние,мужской,сдал
A,3.8,4.0,3.9,6,средние,мужской,сдал
A,3.6,3.7,4.4,8,средние,мужской,не сдал
A,3.7,4.4,4.4,29,старшие,мужской,не сдал
A,4.5,4.0,4.2,1,старшие,мужской,не сдал
A,4.1,3.8,4.2,3,старшие,женский,сдал
A,3.6,3.9,4.1,6,старшие,мужской,сдал
A,3.0,4.9,4.4,10,средние,мужской,сдал
A,4.3,4.3,4.1,1,старшие,мужской,не сдал
A,3.4,4.2,4.1,20,средние,мужской,сдал
A,3.4,4.2,4.1,0,средние,мужской,не сдал
A,4.4,4.2,4.3,5,старшие,женский,сдал
A,3.9,3.8,4.2,9,младшие,мужской,сдал
A,3.8,3.8,3.4,4,младшие,женский,сдал
A,4.0,3.8,4.3,0,младшие,женский,сдал
A,4.1,4.0,4.2,11,старшие,мужской,сдал
A,2.9,4.0,3.6,2,старшие,женский,сдал
A,4.0,3.9,4.3,11,старшие,мужской,не сдал
A,4.6,3.4,3.9,1,средние,женский,сдал
A,3.6,4.0,4.6,5,младшие,мужской,сдал
A,3.5,3.9,4.2,10,старшие,мужской,сдал
A,3.6,4.5,4.4,6,старшие,мужской,сдал
A,3.8,3.7,4.0,42,старшие,женский,сдал
A,4.1,3.9,4.1,0,средние,женский,не сдал
A,3.2,3.8,4.4,10,средние,женский,не сдал
A,4.7,4.1,4.2,14,младшие,мужской,сдал
A,4.0,4.1,3.8,10,средние,мужской,сдал
A,4.4,4.3,4.2,22,младшие,мужской,не сдал
A,3.9,3.9,3.8,26,средние,мужской,сдал
A,3.7,4.3,3.7,0,старшие,женский,не сдал
A,2.9,4.4,4.4,1,средние,мужской,сдал
A,3.8,4.0,4.3,10,младшие,женский,сдал
A,3.6,3.7,4.4,28,средние,мужской,сдал
A,3.6,4.1,3.9,14,младшие,мужской,сдал
A,3.2,4.0,4.1,33,старшие,мужской,сдал
A,3.5,3.6,4.1,37,средние,мужской,сдал
A,2.8,3.8,4.1,4,старшие,мужской,не сдал
A,3.9,3.5,3.9,0,средние,женский,сдал
A,3.1,3.6,3.9,10,средние,женский,сдал
A,4.3,3.2,4.6,19,младшие,мужской,сдал
A,4.0,4.3,4.2,2,старшие,женский,сдал
A,3.5,4.0,4.2,14,младшие,мужской,сдал
A,3.8,3.7,3.9,0,средние,женский,сдал
A,3.6,3.5,4.3,8,средние,женский,не сдал
A,4.2,4.2,4.6,5,средние,мужской,сдал
A,2.8,4.0,4.5,23,средние,мужской,сдал
A,4.6,4.0,4.4,22,средние,мужской,сдал
A,4.1,3.3,4.3,12,младшие,мужской,сдал
A,3.1,4.0,4.1,6,старшие,женский,сдал
A,4.5,4.0,4.1,1,старшие,мужской,не сдал
A,3.0,4.4,3.9,4,младшие,женский,сдал
A,4.6,3.9,4.3,26,младшие,мужской,сдал
A,4.3,4.1,4.5,3,средние,мужской,сдал
A,4.0,4.0,4.2,6,средние,женский,сдал
A,4.5,4.1,4.1,2,младшие,женский,не сдал
A,3.6,3.7,4.2,72,старшие,женский,сдал
A,4.2,3.8,4.0,2,старшие,мужской,сдал
A,3.4,3.6,4.0,1,средние,женский,сдал
A,4.6,4.1,4.3,13,средние,женский,сдал
A,4.1,4.4,3.9,9,старшие,женский,не сдал
A,3.6,3.4,4.9,10,младшие,мужской,сдал
A,4.0,3.8,4.3,38,младшие,мужской,сдал
A,4.3,4.3,4.8,2,средние,мужской,сдал
A,3.4,4.2,4.8,25,старшие,женский,сдал
A,3.9,3.8,4.4,5,старшие,женский,сдал
A,4.2,3.6,4.2,28,средние,мужской,не сдал
A,4.7,3.3,4.5,8,старшие,мужской,сдал
A,3.2,3.8,4.5,9,младшие,мужской,сдал
A,4.3,3.7,4.0,34,средние,женский,сдал
A,3.9,3.7,4.4,15,старшие,мужской,сдал
A,3.5,3.9,4.2,2,средние,женский,сдал
A,4.2,4.3,3.7,15,младшие,женский,сдал
A,3.7,4.1,4.5,40,старшие,мужской,сдал
A,3.5,3.5,4.2,5,младшие,женский,сдал
A,4.0,4.5,4.6,12,младшие,женский,сдал
A,3.3,3.9,4.6,7,средние,женский,сдал
A,4.0,4.1,4.2,12,средние,мужской,не сдал
A,3.7,4.1,4.5,28,старшие,женский,сдал
A,3.1,4.0,4.2,7,средние,женский,не сдал
A,4.1,4.0,4.5,0,средние,женский,сдал
A,4.2,3.6,4.4,6,старшие,женский,сдал
A,3.9,4.6,4.1,4,младшие,женский,сдал
A,3.4,3.9,4.0,17,младшие,мужской,сдал
A,4.0,4.2,4.2,32,средние,женский,сдал
A,4.0,3.7,4.5,0,старшие,женский,сдал
A,4.2,4.0,4.4,22,старшие,мужской,не сдал
A,3.1,4.2,4.1,33,младшие,мужской,сдал
A,4.0,4.5,4.3,12,старшие,мужской,сдал
A,4.0,3.4,4.6,0,старшие,женский,сдал
A,3.5,4.2,4.6,4,средние,женский,сдал
A,4.4,4.0,3.9,10,средние,мужской,сдал
A,3.3,4.5,4.0,9,младшие,женский,не сдал
A,3.2,4.0,3.9,4,старшие,женский,сдал
A,3.3,4.1,4.9,19,младшие,женский,не сдал
A,4.7,4.1,4.7,13,младшие,мужской,сдал
A,3.8,4.1,3.9,0,младшие,мужской,не сдал
A,4.2,4.0,4.2,1,младшие,мужской,не сдал
A,3.3,4.4,4.6,8,младшие,женский,не сдал
A,4.0,3.7,4.0,6,младшие,мужской,сдал
A,4.1,3.9,4.1,5,старшие,женский,не сдал
A,2.8,3.7,4.0,2,младшие,женский,не сдал
A,4.2,4.4,4.4,21,средние,женский,сдал
A,4.2,3.8,4.0,3,средние,женский,сдал
A,3.9,4.4,4.4,8,младшие,женский,сдал
A,3.7,4.4,3.9,7,средние,женский,не сдал
A,2.3,4.0,4.2,5,старшие,женский,сдал
A,3.4,4.9,3.9,22,младшие,женский,не сдал
A,3.4,4.0,4.3,6,младшие,мужской,сдал
A,4.2,4.1,4.4,27,младшие,мужской,сдал
A,3.8,4.2,4.6,7,средние,женский,сдал
A,4.3,4.0,4.6,45,младшие,мужской,не сдал
A,4.1,4.0,4.3,9,младшие,мужской,не сдал
A,3.7,3.9,4.4,0,старшие,женский,сдал
A,3.8,4.2,4.7,0,средние,мужской,не сдал
A,3.5,3.7,4.1,6,младшие,мужской,не сдал
A,2.9,4.0,4.3,15,младшие,мужской,сдал
A,3.3,3.9,4.5,8,средние,женский,сдал
A,3.7,4.0,4.3,1,старшие,мужской,сдал
A,3.5,3.8,3.9,2,младшие,мужской,сдал
A,3.6,4.0,4.3,4,средние,мужской,сдал
A,3.3,4.3,4.2,2,младшие,женский,не сдал
A,3.7,4.3,3.4,24,младшие,мужской,сдал
A,3.6,3.9,3.8,8,младшие,мужской,сдал
A,3.4,4.0,4.2,14,средние,женский,сдал
A,3.0,3.6,4.4,4,средние,мужской,не сдал
A,3.8,3.8,4.2,9,старшие,мужской,сдал
A,3.2,3.9,3.9,8,старшие,мужской,сдал
A,3.9,4.0,4.3,3,младшие,мужской,не сдал
A,3.5,4.3,4.1,14,младшие,женский,сдал
A,4.9,4.8,3.6,3,старшие,мужской,сдал
A,3.3,3.8,4.5,3,средние,мужской,сдал
A,3.9,4.5,3.9,3,старшие,женский,сдал
A,3.4,4.4,4.5,12,младшие,женский,не сдал
A,4.5,3.7,4.0,1,младшие,мужской,сдал
A,3.6,4.3,4.1,8,средние,мужской,сдал
A,3.1,3.6,4.0,0,старшие,мужской,не сдал
A,3.7,4.1,4.7,21,младшие,мужской,сдал
A,4.1,4.1,4.1,7,старшие,мужской,сдал
A,3.2,3.6,3.6,9,старшие,мужской,сдал
A,4.2,3.7,3.9,7,старшие,мужской,сдал
A,3.8,3.9,4.4,0,старшие,женский,не сдал
A,3.9,3.8,4.3,1,старшие,женский,сдал
A,3.1,4.3,4.0,29,младшие,мужской,не сдал
A,3.9,3.9,4.0,14,младшие,женский,сдал
A,4.4,4.2,3.8,1,старшие,мужской,сдал
A,4.1,4.1,4.4,3,средние,женский,сдал
A,4.1,3.9,4.6,15,младшие,женский,сдал
A,3.8,3.9,3.9,12,старшие,мужской,не сдал
A,3.8,4.0,4.6,2,средние,женский,сдал
A,4.5,4.4,3.9,7,младшие,мужской,сдал
A,3.9,4.3,4.5,18,средние,женский,сдал
A,4.3,3.9,4.4,12,старшие,мужской,не сдал
A,4.4,4.2,4.1,2,средние,женский,не сдал
A,3.7,3.9,4.9,8,средние,мужской,сдал
A,2.9,3.6,4.6,3,младшие,мужской,сдал
A,4.7,3.5,3.8,12,средние,женский,не сдал
A,3.8,4.1,3.9,13,средние,женский,сдал
A,3.0,4.3,4.2,10,средние,мужской,сдал
A,3.4,4.1,4.0,0,старшие,женский,не сдал
A,3.5,4.2,4.1,1,средние,женский,не сдал
A,3.6,4.1,4.3,7,младшие,мужской,сдал
A,3.4,4.0,4.2,11,старшие,женский,сдал
A,4.7,4.2,3.9,19,средние,мужской,сдал
A,4.3,4.3,4.1,0,младшие,мужской,не сдал
A,3.9,4.1,4.2,8,средние,женский,сдал
A,3.5,3.7,4.2,13,старшие,женский,не сдал
A,3.1,3.6,4.2,4,старшие,мужской,сдал
A,3.6,4.6,3.8,2,средние,женский,не сдал
A,3.6,3.8,4.4,34,старшие,мужской,сдал
A,3.6,3.8,4.2,9,старшие,женский,сдал
A,4.3,3.6,4.2,32,младшие,женский,не сдал
A,3.7,4.8,4.5,3,средние,женский,сдал
A,3.3,4.0,3.8,7,младшие,мужской,не сдал
A,4.0,4.2,4.2,9,средние,мужской,сдал
A,4.1,4.4,3.6,0,старшие,мужской,сдал
A,3.5,3.9,3.9,7,средние,женский,не сдал
A,3.2,3.6,4.1,12,младшие,мужской,сдал
A,4.1,3.9,4.3,10,старшие,мужской,не сдал
A,3.9,4.6,4.0,2,старшие,женский,сдал
A,4.5,3.9,4.3,8,средние,женский,не сдал
A,4.0,3.6,4.2,23,средние,мужской,сдал
A,4.0,3.7,3.7,7,младшие,мужской,сдал
A,3.9,3.8,4.2,32,младшие,мужской,сдал
A,3.5,3.7,4.1,9,старшие,женский,сдал
A,3.9,3.9,3.9,1,средние,мужской,сдал
A,3.2,3.1,4.6,59,старшие,женский,сдал
A,4.1,4.0,3.8,17,младшие,мужской,не сдал
A,4.2,3.9,4.4,0,младшие,мужской,не сдал
A,4.6,3.8,4.2,27,младшие,мужской,сдал
A,4.4,3.8,4.1,15,младшие,женский,сдал
A,3.7,3.9,4.0,4,средние,мужской,сдал
A,4.2,4.2,4.1,19,младшие,женский,сдал
A,4.1,4.4,3.3,1,младшие,женский,не сдал
A,3.5,3.9,4.7,0,старшие,женский,сдал
A,3.5,3.8,4.3,5,младшие,мужской,сдал
A,4.7,4.0,4.4,1,старшие,женский,не сдал
A,3.2,3.7,4.1,2,средние,женский,не сдал
A,3.9,4.4,4.4,11,средние,женский,сдал
A,2.8,4.0,3.6,4,старшие,женский,сдал
A,4.3,4.5,4.5,5,средние,мужской,сдал
A,3.7,3.8,4.2,3,средние,мужской,сдал
A,3.5,3.8,4.7,9,средние,мужской,сдал
A,3.8,4.2,4.2,9,старшие,женский,не сдал
A,4.0,3.7,4.4,3,младшие,мужской,сдал
A,4.5,4.1,4.2,17,старшие,женский,сдал
A,3.9,4.0,4.0,13,младшие,мужской,сдал
A,4.1,4.5,4.5,0,старшие,женский,сдал
A,4.3,4.2,4.5,6,старшие,мужской,не сдал
A,3.5,3.6,4.6,10,средние,женский,не сдал
A,3.9,4.6,3.8,0,средние,женский,не сдал
A,3.0,3.1,3.6,6,средние,мужской,сдал
A,3.6,4.2,4.1,1,старшие,мужской,сдал
A,4.0,3.5,3.6,6,средние,мужской,сдал
A,3.7,3.8,3.9,10,старшие,мужской,сдал
A,4.2,4.7,3.7,15,младшие,мужской,не сдал
A,4.0,3.8,4.1,4,средние,женский,не сдал
A,3.8,4.0,4.0,0,младшие,женский,не сдал
A,2.9,4.1,3.6,14,младшие,мужской,не сдал
A,2.9,4.2,4.4,15,средние,женский,сдал
A,4.1,3.6,3.3,6,старшие,женский,не сдал
A,3.6,4.1,4.2,16,средние,женский,сдал
A,3.5,3.8,3.9,30,средние,мужской,сдал
A,3.6,3.7,4.6,5,старшие,мужской,не сдал
A,3.5,4.1,4.2,12,младшие,женский,не сдал
A,4.0,4.5,3.8,7,средние,женский,сдал
A,3.7,4.2,4.1,1,младшие,мужской,сдал
A,3.2,4.4,3.8,4,старшие,женский,сдал
A,3.5,4.3,4.0,3,младшие,женский,сдал
A,3.3,4.0,4.5,3,средние,мужской,сдал
A,3.9,4.2,3.4,4,младшие,мужской,сдал
A,3.8,4.3,4.5,7,старшие,мужской,сдал
A,4.1,3.9,4.8,4,средние,мужской,сдал
A,2.9,3.9,4.3,3,старшие,женский,сдал
A,4.4,4.1,4.5,26,младшие,женский,сдал
A,4.0,3.7,4.4,4,средние,мужской,сдал
A,4.1,4.0,3.5,1,младшие,женский,сдал
A,4.2,4.0,4.3,16,младшие,мужской,сдал
A,4.2,4.5,4.3,2,средние,мужской,сдал
A,4.1,4.1,4.7,26,старшие,женский,не сдал
A,4.0,4.2,3.9,3,старшие,мужской,сдал
A,4.0,4.3,4.3,15,старшие,мужской,сдал
A,3.5,3.9,3.8,4,старшие,женский,не сдал
A,3.2,4.3,4.3,4,средние,мужской,сдал
A,3.7,4.4,3.9,20,старшие,мужской,не сдал
A,3.2,4.0,4.0,8,старшие,мужской,не сдал
A,4.0,4.1,3.8,11,средние,мужской,сдал
A,4.1,3.5,4.4,0,средние,мужской,не сдал
A,3.6,4.2,4.4,11,младшие,женский,сдал
A,4.5,3.4,4.8,4,младшие,женский,сдал
A,4.5,4.1,3.8,14,младшие,мужской,сдал
A,3.2,3.9,4.4,5,младшие,мужской,сдал
A,3.6,4.3,4.2,0,средние,женский,не сдал
A,3.1,3.7,4.2,25,младшие,мужской,сдал
A,4.2,4.0,5.0,5,старшие,женский,сдал
A,3.3,4.0,4.7,6,младшие,женский,сдал
A,3.6,4.3,4.2,11,младшие,женский,сдал
A,4.0,4.6,4.1,14,средние,женский,не сдал
A,3.0,4.5,4.4,7,младшие,женский,сдал
A,4.3,4.5,4.1,13,старшие,мужской,сдал
A,3.9,3.9,4.1,2,старшие,женский,сдал
A,3.4,3.9,4.6,2,младшие,мужской,сдал
A,4.3,4.3,4.2,2,младшие,мужской,сдал
A,3.4,4.4,4.0,2,старшие,женский,сдал
A,4.3,4.0,4.5,10,младшие,женский,не сдал
A,3.9,3.7,4.2,14,старшие,женский,сдал
A,4.6,4.4,3.5,1,старшие,мужской,сдал
A,4.2,3.7,4.4,0,старшие,женский,сдал
A,3.5,4.1,4.1,24,средние,мужской,сдал
A,4.8,4.1,4.4,7,средние,мужской,сдал
A,3.9,4.0,4.2,5,старшие,мужской,сдал
A,4.1,4.2,4.1,4,старшие,мужской,сдал
A,3.5,4.2,4.4,2,средние,женский,сдал
A,3.3,3.8,4.1,0,младшие,женский,сдал
A,3.8,4.0,4.4,25,младшие,женский,сдал
A,4.7,4.2,4.5,4,старшие,женский,сдал
A,4.0,3.8,4.1,5,старшие,женский,сдал
A,3.5,3.9,4.0,1,старшие,женский,сдал
A,4.2,4.0,4.4,0,старшие,женский,сдал
A,4.1,3.9,4.2,1,старшие,мужской,не сдал
A,4.7,4.9,4.3,0,младшие,женский,сдал
A,3.5,3.5,4.2,33,младшие,женский,не сдал
A,3.1,4.6,4.3,9,младшие,мужской,не сдал
A,4.0,3.6,4.0,19,младшие,мужской,сдал
A,3.8,3.3,4.3,8,младшие,женский,не сдал
A,3.4,3.7,4.3,10,младшие,мужской,сдал
A,4.0,3.9,4.3,3,младшие,женский,сдал
A,4.6,3.9,4.3,4,старшие,женский,сдал
A,3.5,4.0,4.3,14,средние,женский,сдал
A,3.6,4.0,4.1,45,средние,женский,не сдал
A,3.6,4.0,4.8,12,старшие,мужской,сдал
A,3.3,4.3,4.3,18,младшие,женский,сдал
A,4.5,4.1,4.1,6,старшие,мужской,сдал
A,3.1,3.5,5.0,1,средние,мужской,сдал
A,3.9,3.4,5.0,7,младшие,мужской,сдал
A,3.8,3.4,4.4,4,средние,женский,сдал
A,4.4,3.8,4.1,1,младшие,мужской,сдал
A,3.9,3.6,4.3,2,старшие,женский,сдал
A,3.5,4.0,4.0,32,младшие,мужской,не сдал
A,5.0,3.7,4.4,2,старшие,мужской,сдал
A,3.8,4.0,4.6,1,средние,мужской,сдал
A,3.1,4.0,4.3,3,средние,женский,сдал
A,3.3,3.7,4.2,5,средние,женский,не сдал
A,3.0,3.8,4.4,2,младшие,мужской,не сдал
A,4.4,4.1,4.4,19,старшие,мужской,не сдал
A,3.3,4.2,3.8,4,старшие,мужской,сдал
A,3.7,4.1,4.5,4,старшие,женский,не сдал
A,3.6,3.4,4.2,10,старшие,мужской,не сдал
A,3.7,4.4,4.6,11,старшие,мужской,сдал
A,4.3,4.0,4.0,0,старшие,женский,сдал
A,3.5,3.8,4.6,18,младшие,женский,сдал
A,3.5,3.6,4.3,2,младшие,женский,сдал
A,4.0,3.8,4.2,10,младшие,женский,сдал
A,4.0,4.3,4.4,19,старшие,мужской,сдал
A,4.3,3.6,4.3,4,средние,мужской,не сдал
A,4.7,3.7,4.6,3,старшие,женский,сдал
A,3.5,4.3,4.2,0,старшие,мужской,не сдал
A,4.0,3.6,4.1,24,средние,женский,сдал
A,3.0,4.0,4.9,19,младшие,женский,сдал
A,3.1,3.8,4.3,7,младшие,женский,не сдал
A,3.4,4.0,3.8,23,средние,женский,сдал
A,3.7,4.3,4.5,10,младшие,женский,сдал
A,3.8,4.1,4.8,12,старшие,женский,сдал
A,4.3,3.6,3.9,21,младшие,мужской,не сдал
A,3.6,3.9,3.3,16,младшие,женский,сдал
A,3.4,3.9,4.4,25,старшие,женский,сдал
A,4.0,4.1,4.3,0,средние,женский,сдал
A,4.0,3.9,4.7,17,младшие,женский,сдал
A,4.7,3.9,4.7,4,младшие,женский,сдал
A,4.0,3.9,3.7,1,младшие,женский,сдал
A,3.1,4.5,4.3,32,старшие,женский,сдал
A,4.2,4.2,3.5,22,младшие,женский,сдал
A,3.6,4.4,3.9,5,младшие,женский,сдал
A,3.3,4.0,3.9,22,младшие,мужской,сдал
A,3.6,3.9,4.2,17,старшие,мужской,сдал
A,3.8,4.2,4.2,2,старшие,женский,сдал
A,4.5,3.9,3.7,4,младшие,мужской,сдал
A,4.5,4.4,4.8,2,старшие,мужской,сдал
A,4.1,4.3,4.5,25,средние,мужской,сдал
A,3.5,3.4,3.7,39,старшие,мужской,не сдал
A,4.1,3.8,4.3,4,младшие,мужской,сдал
A,4.2,3.9,4.6,10,средние,мужской,сдал
A,3.7,4.2,4.1,2,старшие,мужской,сдал
A,3.7,3.5,4.4,4,младшие,мужской,сдал
A,4.0,4.2,4.1,5,средние,женский,сдал
A,4.1,3.6,3.3,5,средние,мужской,сдал
A,4.4,4.2,3.8,7,младшие,женский,сдал
A,3.6,3.9,4.2,18,младшие,мужской,сдал
A,4.0,3.7,4.0,0,старшие,женский,сдал
A,4.3,4.2,4.0,5,средние,мужской,сдал
A,3.8,4.6,3.8,6,старшие,женский,не сдал
A,4.4,3.7,4.1,23,средние,мужской,сдал
A,4.1,4.4,4.1,1,старшие,женский,сдал
A,4.2,4.2,3.8,16,младшие,мужской,сдал
A,3.1,3.5,4.1,3,старшие,женский,сдал
A,4.0,3.7,3.8,1,средние,женский,сдал
A,4.2,4.6,4.1,14,средние,женский,сдал
A,3.5,3.8,4.1,5,младшие,женский,сдал
A,3.8,3.9,4.0,3,средние,женский,сдал
A,4.6,3.6,4.4,1,старшие,женский,сдал
A,3.7,4.0,4.4,13,младшие,мужской,не сдал
A,3.7,4.2,4.2,11,младшие,женский,не сдал
A,4.1,3.8,4.2,4,младшие,женский,сдал
A,3.9,4.0,4.3,24,младшие,мужской,не сдал
A,2.8,4.0,3.7,9,средние,женский,сдал
A,3.8,4.1,4.4,4,средние,женский,не сдал
A,4.2,4.0,3.8,3,младшие,мужской,не сдал
A,4.4,3.9,4.2,2,младшие,мужской,сдал
A,3.8,3.8,4.3,3,средние,мужской,не сдал
A,3.9,3.6,4.6,32,старшие,женский,не сдал
A,3.2,4.8,4.1,3,старшие,женский,не сдал
A,4.5,4.6,4.1,18,младшие,женский,не сдал
A,3.6,3.9,3.8,0,средние,мужской,сдал
A,3.8,4.1,3.9,5,средние,женский,сдал
A,3.2,3.9,4.2,7,старшие,мужской,сдал
A,3.6,3.6,4.3,20,старшие,мужской,сдал
A,3.2,3.9,4.5,2,младшие,мужской,сдал
A,4.3,3.9,4.3,15,младшие,мужской,не сдал
A,3.8,3.8,4.9,8,средние,мужской,сдал
A,3.2,3.9,4.2,4,младшие,мужской,не сдал
A,4.3,4.2,4.5,18,младшие,мужской,сдал
A,3.4,3.7,4.5,1,младшие,женский,сдал
A,4.3,3.6,4.0,6,средние,мужской,сдал
A,4.3,3.8,3.9,2,средние,женский,сдал
A,4.4,3.9,3.7,82,старшие,женский,сдал
A,3.3,4.0,4.1,2,старшие,мужской,не сдал
